,max_depth,min_samples_leaf,min_samples_split,auc
0,,2,2,0.7298272158189737
1,,2,10,0.744837645692224
2,,2,100,0.7860601831511476
3,,2,1000,0.8164740996460095
4,,2,10000,0.8062891649211149
5,,2,50000,0.777565908696207
6,,10,2,0.764410481858088
7,,10,10,0.7646383083637264
8,,10,100,0.7878551216593137
9,,10,1000,0.813814991680921
10,,10,10000,0.8062569231087743
11,,10,50000,0.7776722377299276
12,,100,2,0.7921844486295105
13,,100,10,0.792236802036115
14,,100,100,0.7922976204814354
15,,100,1000,0.8045262139165776
16,,100,10000,0.7969534134273757
17,,100,50000,0.7717441084790618
18,,1000,2,0.7718477455455068
19,,1000,10,0.7718477455455068
20,,1000,100,0.7718477455455068
21,,1000,1000,0.7718477455455068
22,,1000,10000,0.764103813513876
23,,1000,50000,0.7422901087784779
24,,10000,2,0.6699842631100428
25,,10000,10,0.6699842631100428
26,,10000,100,0.6699842631100428
27,,10000,1000,0.6699842631100428
28,,10000,10000,0.6699842631100428
29,,10000,50000,0.649181380007264
30,,50000,2,0.5667590603682333
31,,50000,10,0.5667590603682333
32,,50000,100,0.5667590603682333
33,,50000,1000,0.5667590603682333
34,,50000,10000,0.5667590603682333
35,,50000,50000,0.5667590603682333
36,5.0,2,2,0.6745411468614421
37,5.0,2,10,0.6745408903973831
38,5.0,2,100,0.6745420157543959
39,5.0,2,1000,0.6745382089004798
40,5.0,2,10000,0.6720570343833778
41,5.0,2,50000,0.6720570343833778
42,5.0,10,2,0.6745397497568801
43,5.0,10,10,0.6745391365552027
44,5.0,10,100,0.6745434011673858
45,5.0,10,1000,0.6745389125426204
46,5.0,10,10000,0.6720570343833778
47,5.0,10,50000,0.6720570343833778
48,5.0,100,2,0.676646973533077
49,5.0,100,10,0.6766478673639053
50,5.0,100,100,0.676646973533077
51,5.0,100,1000,0.6766455688504323
52,5.0,100,10000,0.6720570343833778
53,5.0,100,50000,0.6720570343833778
54,5.0,1000,2,0.7461810671190501
55,5.0,1000,10,0.7461810671190501
56,5.0,1000,100,0.7461810671190501
57,5.0,1000,1000,0.7461810671190501
58,5.0,1000,10000,0.7382220080684567
59,5.0,1000,50000,0.7285605882759507
60,5.0,10000,2,0.6699842631100428
61,5.0,10000,10,0.6699842631100428
62,5.0,10000,100,0.6699842631100428
63,5.0,10000,1000,0.6699842631100428
64,5.0,10000,10000,0.6699842631100428
65,5.0,10000,50000,0.649181380007264
66,5.0,50000,2,0.5667590603682333
67,5.0,50000,10,0.5667590603682333
68,5.0,50000,100,0.5667590603682333
69,5.0,50000,1000,0.5667590603682333
70,5.0,50000,10000,0.5667590603682333
71,5.0,50000,50000,0.5667590603682333
72,10.0,2,2,0.755937345038251
73,10.0,2,10,0.7561811827856835
74,10.0,2,100,0.7566004514807922
75,10.0,2,1000,0.756348039985772
76,10.0,2,10000,0.7470806715271632
77,10.0,2,50000,0.7407422812274972
78,10.0,10,2,0.7572207350941268
79,10.0,10,10,0.7569780720105882
80,10.0,10,100,0.7570614188670036
81,10.0,10,1000,0.756784733260749
82,10.0,10,10000,0.7470806715271632
83,10.0,10,50000,0.7407422812274972
84,10.0,100,2,0.7567152258405576
85,10.0,100,10,0.756713588539653
86,10.0,100,100,0.75671327531419
87,10.0,100,1000,0.7568521604124909
88,10.0,100,10000,0.7473855641264813
89,10.0,100,50000,0.7407422812274972
90,10.0,1000,2,0.7712872335831309
91,10.0,1000,10,0.7712872335831309
92,10.0,1000,100,0.7712872335831309
93,10.0,1000,1000,0.7712872335831309
94,10.0,1000,10000,0.7615348229089722
95,10.0,1000,50000,0.7422901087784779
96,10.0,10000,2,0.6699842631100428
97,10.0,10000,10,0.6699842631100428
98,10.0,10000,100,0.6699842631100428
99,10.0,10000,1000,0.6699842631100428
100,10.0,10000,10000,0.6699842631100428
101,10.0,10000,50000,0.649181380007264
102,10.0,50000,2,0.5667590603682333
103,10.0,50000,10,0.5667590603682333
104,10.0,50000,100,0.5667590603682333
105,10.0,50000,1000,0.5667590603682333
106,10.0,50000,10000,0.5667590603682333
107,10.0,50000,50000,0.5667590603682333
108,50.0,2,2,0.717013263558535
109,50.0,2,10,0.7353342739488642
110,50.0,2,100,0.7874679701019027
111,50.0,2,1000,0.817022376813583
112,50.0,2,10000,0.8062891649211149
113,50.0,2,50000,0.777565908696207
114,50.0,10,2,0.7616070931603927
115,50.0,10,10,0.7609835294639242
116,50.0,10,100,0.787493003305144
117,50.0,10,1000,0.8139803841104929
118,50.0,10,10000,0.8062569231087743
119,50.0,10,50000,0.7776722377299276
120,50.0,100,2,0.7923761107409857
121,50.0,100,10,0.7921925960050722
122,50.0,100,100,0.7923806528178705
123,50.0,100,1000,0.8045513971092355
124,50.0,100,10000,0.7969534134273757
125,50.0,100,50000,0.7717441084790618
126,50.0,1000,2,0.7718477455455068
127,50.0,1000,10,0.7718477455455068
128,50.0,1000,100,0.7718477455455068
129,50.0,1000,1000,0.7718477455455068
130,50.0,1000,10000,0.764103813513876
131,50.0,1000,50000,0.7422901087784779
132,50.0,10000,2,0.6699842631100428
133,50.0,10000,10,0.6699842631100428
134,50.0,10000,100,0.6699842631100428
135,50.0,10000,1000,0.6699842631100428
136,50.0,10000,10000,0.6699842631100428
137,50.0,10000,50000,0.649181380007264
138,50.0,50000,2,0.5667590603682333
139,50.0,50000,10,0.5667590603682333
140,50.0,50000,100,0.5667590603682333
141,50.0,50000,1000,0.5667590603682333
142,50.0,50000,10000,0.5667590603682333
143,50.0,50000,50000,0.5667590603682333
144,100.0,2,2,0.7291558597608226
145,100.0,2,10,0.744937667682866
146,100.0,2,100,0.7858378419105092
147,100.0,2,1000,0.8164455080604519
148,100.0,2,10000,0.8062891649211149
149,100.0,2,50000,0.777565908696207
150,100.0,10,2,0.765402655005854
151,100.0,10,10,0.7647575502364921
152,100.0,10,100,0.7878622634803081
153,100.0,10,1000,0.8138105139204477
154,100.0,10,10000,0.8062569231087743
155,100.0,10,50000,0.7776722377299276
156,100.0,100,2,0.7922228083536229
157,100.0,100,10,0.7923786903241707
158,100.0,100,100,0.7922308119622897
159,100.0,100,1000,0.8045519570183582
160,100.0,100,10000,0.7969534134273757
161,100.0,100,50000,0.7717441084790618
162,100.0,1000,2,0.7718477455455068
163,100.0,1000,10,0.7718477455455068
164,100.0,1000,100,0.7718477455455068
165,100.0,1000,1000,0.7718477455455068
166,100.0,1000,10000,0.764103813513876
167,100.0,1000,50000,0.7422901087784779
168,100.0,10000,2,0.6699842631100428
169,100.0,10000,10,0.6699842631100428
170,100.0,10000,100,0.6699842631100428
171,100.0,10000,1000,0.6699842631100428
172,100.0,10000,10000,0.6699842631100428
173,100.0,10000,50000,0.649181380007264
174,100.0,50000,2,0.5667590603682333
175,100.0,50000,10,0.5667590603682333
176,100.0,50000,100,0.5667590603682333
177,100.0,50000,1000,0.5667590603682333
178,100.0,50000,10000,0.5667590603682333
179,100.0,50000,50000,0.5667590603682333
